IK;Name
107531187;BKK SBH
107532042;BKK Rieker.Ricosta.Weisser
107536171;BKK Aesculap
107536262;Schwenninger BKK
107538890;Schwenninger BKK/Ost
107829563;BKK ZF & Partner
107829574;BKK ZF & Partner Ost
107832012;BKK VerbundPlus
107832023;BKK VerbundPlus/Ost
107835071;BKK Groz-Beckert
107835333;BKK MTU Friedrichshafen GmbH
107835743;Metzinger BKK
107836243;BKK Wieland-Werke
108021400;WMF BKK/OST
108023140;BKK Würth/Ost
108023388;Bosch BKK/Ost
108029306;BKK advita
108030775;Daimler BKK
108031297;BKK advita/Ost
108031424;BKK Voralb HELLER*LEUZE*TRAUB
108034508;mhplus BKK/OST
108035451;neue bkk
108035576;BKK Scheufelen
108035612;mhplus BKK
108036123;Bosch BKK
108036145;BKK MAHLE
108036441;WMF BKK
108036577;BKK Würth
108038078;Daimler BKK Ost
108223858;SBK HV Ost
108433248;SBK HV West
108534160;Audi BKK
108591499;BKK ProVita (ehemals A.T.U)
108591503;BKK ProVita / Ost (ehemals A.T.U/Ost)
108632900;BKK Textilgruppe Hof
108823455;SKD BKK/Ost
108831386;BKK KBA/Ost
108833355;BKK Akzo Nobel -Bayern-
108833505;SKD BKK
108833674;BKK KBA/West
108837428;Audi BKK/Ost
108934142;BKK Krones
109021685;BMW BKK/Ost
109033393;BKK Faber-Castell & Partner
109034270;BMW BKK
109132678;BKK STADT AUGSBURG
109723913;BKK VBU
109737010;BKK VBU/Ost
109920569;BAHN-BKK/OST
109921296;Deutsche BKK/Ost
109938503;BAHN-BKK
109939003;Deutsche BKK
100395611;AOK Mecklenburg-Vorpommern
100696012;AOK Brandenburg
101097008;AOK Sachsen-Anhalt
101317004;AOK Schleswig-Holstein
101519213;AOK Hamburg (Rheinland/Hamburg)
101710900;AOK Niedersachsen  KV
101814028;AOK Aurich
101814197;AOK Emden
101814200;AOK Wittmund
101814346;AOK Leer
101814437;AOK Norden
101814518;AOK Aschendorf-Hümmlingen
101914085;AOK Braunschweig
101914212;AOK Gifhorn-Helmstedt
101914520;AOK Peine
101914553;AOK Salzgitter
101914702;AOK Wolfenbuettel
101914724;AOK Nordharz
102014179;AOK Duderstadt
102014180;AOK Einbeck-Northeim
102014226;AOK Göttingen
102014271;AOK Hann.-Münden
102014328;AOK Holzminden
102014501;AOK Osterode
102114103;AOK Burgdorf
102114114;AOK Celle
102114261;AOK Hannover
102114410;AOK Neustadt
102114535;AOK Rinteln
102114591;AOK Stadthagen
102114717;AOK Hameln-Pyrmont
102114819;AOK Niedersachsen
102214013;AOK Alfeld
102214295;AOK Hildesheim
102314365;AOK Lüchow-Dannenberg
102314376;AOK Lüneburg
102314628;AOK Uelzen
102314684;AOK Winsen/Luhe
102414139;AOK Cloppenburg
102414151;AOK Delmenhorst
102414468;AOK Oldenburg
102414630;AOK Vechta
102414663;AOK Ammerland
102514050;AOK Bentheim
102514072;AOK Bramsche
102514356;AOK Lingen
102514389;AOK Melle
102514390;AOK Meppen
102514470;AOK Osnabrueck
102614095;AOK Bremervoerde
102614142;AOK Cuxhaven
102614493;AOK Osterholz
102614585;AOK Stade
102714165;AOK Diepholz
102714427;AOK Nienburg
102714564;AOK Soltau-Walsrode
102714600;AOK Stolzenau
102714611;AOK Syke
102714644;AOK Verden
102814064;AOK Wesermarsch
102814337;AOK Friesland
102814678;AOK Wilhelmshaven
103119199;AOK Bremen/Bremerhaven
103411401;AOK Westfalen-Lippe
104212505;AOK Rheinland (Rheinland/Hamburg)
105313145;AOK Hessen
105998018;AOK Thüringen
106818216;AOK-BD Mittlerer Oberrhein, Baden-Baden/Bühl
106818249;AOK-BD Nordschwarzwald, Freudenstadt
106818261;AOK-BD Mittlerer Oberrhein, Rastatt
106918228;AOK-BD Mittlerer Oberrhein, Bruchsal
106918251;AOK-BD Mittlerer Oberrhein, Karlsruhe
107018414;AOK-BD Rhein-Neckar-Odenwald, Heidelberg
107018425;AOK-BD Rhein-Neckar-Odenwald, Mannheim
107018436;AOK-BD Rhein-Neckar-Odenwald, Mosbach
107118233;AOK-BD Nordschwarzwald, Calw
107118277;AOK-BD Nordschwarzwald, Enzkreis und Pforzheim
107299005;AOK Sachsen
107310373;AOK Rheinland-Pfalz
107415507;AOK-BD Südlicher Oberrhein, Emmendingen
107415518;AOK-BD Südlicher Oberrhein, Freiburg
107415541;AOK-BD Hochrhein-Bodensee, Lörrach
107415596;AOK-BD Hochrhein-Bodensee, Waldshut-Tiengen
107515520;AOK-BD Hochrhein-Bodensee, Konstanz
107515564;AOK-BD Schwarzwald-Baar-Heuberg, Schramberg
107515575;AOK-BD AOK-BD Schwarzwald-Baar-Heuberg, Tuttlingen
107515586;AOK-BD AOK-BD Schwarzwald-Baar-Heuberg, Villingen-Schwenning
107615532;AOK-BD Südlicher Oberrhein, Lahr
107615554;AOK-BD Südlicher Oberrhein ,Offenburg
107815705;AOK-BD Neckar-Alb, Balingen
107815716;AOK-BD Donau-Iller, Biberach
107815727;AOK-BD Neckar-Alb,  Albstadt
107815738;AOK-BD Bodensee-Oberschwaben, Friedrichshafen
107815749;AOK-BD Bodensee-Oberschwaben, Ravensburg
107815750;AOK-BD Neckar-Alb, Reutlingen
107815761;AOK-BD Bodensee-Oberschwaben, Sigmaringen
107815772;AOK-BD Neckar-Alb, Tübingen
107815783;AOK-BD Donau-Iller, Ulm
107815794;AOK-BD Neckar-Alb, Bad Urach-Münsingen
107815807;AOK-BD Bodensee-Oberschwaben, Wangen
108018007;AOK Baden-Württemberg
108018110;AOK-BD Stuttgart-Böblingen, Böblingen
108018121;AOK-BD Stuttgart-Böblingen, Stuttgart
108018132;AOK-BD Ludwigsburg-Rems-Murr, Waiblingen
108018325;AOK-BD Heilbronn-Franken, Heilbronn
108018336;AOK-BD Heilbronn-Franken, Künzelsau
108018347;AOK-BD Ludwigsburg-Rems-Murr, Ludwigsburg-Bietigheim
108018358;AOK-BD Heilbronn-Franken,Schwäbisch-Hall
108018369;AOK-BD Heilbronn-Franken, Tauberbischofsheim
108018519;AOK-BD Ostwürttemberg, Aalen
108018520;AOK-BD Neckar-Fils, Esslingen
108018531;AOK-BD Neckar-Fils,Göppingen
108018542;AOK-BD Ostwürttemberg, Heidenheim
108018553;AOK-BD Neckar-Fils, Kirchheim/Teck
108018564;AOK-BD Ostwürttemberg, Schwäbisch-Gmünd
108310400;AOK Bayern
108416214;AOK Bayern Direktion München
108516419;AOK Bayern Direktion Bad Reichenhall
108516420;AOK Bayern Direktion Bad Tölz
108516431;AOK Bayern Direktion Erding
108516442;AOK Bayern Direktion Freising
108516453;AOK Bayern Direktion Garmisch-Partenkirchen
108516464;AOK Bayern Direktion Ingolstadt
108516475;AOK Bayern Direktion Landsberg
108516486;AOK Bayern Direktion Mühldorf
108516497;AOK Bayern Direktion Rosenheim
108616513;AOK Bayern Direktion Bamberg
108616524;AOK Bayern Direktion Bayreuth
108616535;AOK Bayern Direktion Coburg
108616546;AOK Bayern Direktion Hof
108616557;AOK Bayern Direktion Wunsiedel
108716115;AOK Bayern Direktion Mitelfranken
108816811;AOK Bayern Direktion Aschaffenburg
108816822;AOK Bayern Direktion Schweinfurt
108816833;AOK Bayern Direktion Würzburg
108916618;AOK Bayern Direktion Amberg
108916629;AOK Bayern Direktion Cham
108916630;AOK Bayern Direktion Neumarkt
108916641;AOK Bayern Direktion Regensburg
108916652;AOK Bayern Direktion Tirschenreuth
108916663;AOK Bayern Direktion Weiden
109016314;AOK Bayern Direktion Bayerwald
109016325;AOK Bayern Direktion Deggendorf
109016336;AOK Bayern Direktion Kelheim
109016347;AOK Bayern Direktion Landshut
109016358;AOK Bayern Direktion Passau
109016369;AOK Bayern Direktion Pfarrkirchen Rottal-Inn
109016370;AOK Bayern Direktion Straubing
109116714;AOK Bayern Direktion Augsburg
109116725;AOK Bayern Direktion Donauwörth
109116736;AOK Bayern Direktion Günzburg
109116747;AOK Bayern Direktion Lindau
109116758;AOK Bayern Direktion Memmingen
109116769;AOK Bayern Direktion Kempten-Oberallgäu
109116770;AOK Bayern Direktion Kaufbeuren-Ostallgäu
109319309;AOK Saarland
109519005;AOK Berlin
104940005;BARMER GEK (Hauptverwaltung)
100180008;BARMER GEK (Mecklenburg-Vorpommern)
100580002;BARMER GEK (Brandenburg)
100980006;BARMER GEK (Sachsen-Anhalt)
101380002;BARMER GEK (Schleswig-Holstein)
101580004;BARMER GEK (Hamburg)
101780006;BARMER GEK (Niedersachsen)
103080003;BARMER GEK (Bremen)
103480007;BARMER GEK (Westfalen-Lippe)
104080005;BARMER GEK (Nordrhein)
105080008;BARMER GEK (Thüringen)
105180009;BARMER GEK (Hessen)
106280002;BARMER GEK (Rheinhessen)
106380003;BARMER GEK (Koblenz)
106480004;BARMER GEK (Pfalz)
106580005;BARMER GEK (Trier)
106780007;BARMER GEK (Nordbaden)
107280004;BARMER GEK (Sachsen)
107380005;BARMER GEK (Südbaden)
107880000;BARMER GEK (Südwürttemberg)
108080004;BARMER GEK (Nordwürttemberg)
108380007;BARMER GEK (Bayern)
109380009;BARMER GEK (Saarland)
109580001;BARMER GEK (Berlin West)
109580012;BARMER GEK (Auslandsversicherte)
101560000;DAK-Gesundheit (Hauptverwaltung)
100167999;DAK-Gesundheit (Mecklenburg-Vorpommern)
100567993;DAK-Gesundheit (Brandenburg)
100967997;DAK-Gesundheit (Sachsen-Anhalt)
101367993;DAK-Gesundheit (Schleswig-Holstein)
101567995;DAK-Gesundheit (Hamburg)
101767997;DAK-Gesundheit (Niedersachsen)
103067994;DAK-Gesundheit (Bremen)
103467998;DAK-Gesundheit (Westfalen-Lippe)
104067996;DAK-Gesundheit (Nordrhein)
105067999;DAK-Gesundheit (Thüringen)
105167990;DAK-Gesundheit (Hessen)
106267993;DAK-Gesundheit (Rheinhessen)
106367994;DAK-Gesundheit (Koblenz)
106467995;DAK-Gesundheit (Pfalz)
106567996;DAK-Gesundheit (Trier)
106767998;DAK-Gesundheit (Nordbaden)
107267995;DAK-Gesundheit (Sachsen)
107367996;DAK-Gesundheit (Südbaden)
107867991;DAK-Gesundheit (Südwürttemberg)
108067995;DAK-Gesundheit (Nordwürttemberg)
108367998;DAK-Gesundheit (Bayern)
109367990;DAK-Gesundheit (Saarland)
109567992;DAK-Gesundheit (Berlin West)
101520454;BKK Axel Springer
101592280;BKK Axel Springer
101520147;BKK Shell
101520352;Shell BKK/LIFE Ost
105830016;DAK-Gesundheit / ehemals BKK Gesundheit West
105836717;DAK-Gesundheit / ehemals BKK Gesundheit Ost
101532301;DAK-Gesundheit / ehemals BKK Beiersdorf
101592235;DAK-Gesundheit / ehemals BKK Beiersdorf
101592612;DAK-Gesundheit / ehemals BKK Beiersdorf
101575519;TK (Hauptverwaltung)
100177504;TK (Mecklenburg-Vorpommern)
100577508;TK (Brandenburg)
100977502;TK (Sachsen-Anhalt)
101377508;TK (Schleswig-Holstein)
101577500;TK (Hamburg)
101777502;TK (Niedersachsen)
103077509;TK (Bremen)
103477503;TK (Westfalen-Lippe)
104077501;TK (Nordrhein)
105077504;TK (Thüringen)
105177505;TK (Hessen)
106277508;TK (Rheinhessen)
106377509;TK (Koblenz)
106477500;TK (Pfalz)
106577501;TK (Trier)
106777503;TK (Nordbaden)
107277500;TK (Sachsen)
107377501;TK (Südbaden)
107877506;TK (Südwürttemberg)
108077500;TK (Nordwürttemberg)
108377013;TK (TK-Netz MQM)
108377503;TK (Bayern)
109377505;TK (Saarland)
109577507;TK (Berlin West)
109577006;TK (Berlin West)
109777509;TK (Berlin-Ost)
102171012;KKH (Hauptverwaltung)
100175502;KKH (Mecklenburg-Vorpommern)
100575506;KKH (Brandenburg)
100975500;KKH (Sachsen-Anhalt)
101375506;KKH (Schleswig-Holstein)
101575508;KKH (Hamburg)
101775500;KKH (Niedersachsen)
103075507;KKH (Bremen)
103475501;KKH (Westfalen-Lippe)
104075509;KKH (Nordrhein)
105075502;KKH (Thüringen)
105175503;KKH (Hessen)
106275506;KKH (Rheinhessen)
106375507;KKH (Koblenz)
106475508;KKH (Pfalz)
106575509;KKH (Trier)
106775501;KKH (Nordbaden)
107275508;KKH (Sachsen)
107375509;KKH (Südbaden)
107875504;KKH (Südwürttemberg)
108075508;KKH (Nordwürttemberg)
108375501;KKH (Bayern)
109375503;KKH (Saarland)
109575505;KKH (Berlin)
101570104;HEK - Hanseatische Krankenkasse (Hauptverwaltung)
100171007;HEK - Hanseatische Krankenkasse (Mecklenburg-Vorpommern)
100571001;HEK - Hanseatische Krankenkasse (Brandenburg)
100971005;HEK - Hanseatische Krankenkasse (Sachsen-Anhalt)
101371001;HEK - Hanseatische Krankenkasse (Schleswig-Holstein)
101571003;HEK - Hanseatische Krankenkasse (Hamburg)
101771005;HEK - Hanseatische Krankenkasse (Niedersachsen)
103071002;HEK - Hanseatische Krankenkasse (Bremen)
103471006;HEK - Hanseatische Krankenkasse (Westfalen-Lippe)
104071004;HEK - Hanseatische Krankenkasse (Nordrhein)
105071007;HEK - Hanseatische Krankenkasse (Thüringen)
105171008;HEK - Hanseatische Krankenkasse (Hessen)
106271001;HEK - Hanseatische Krankenkasse (Rheinhessen)
106371002;HEK - Hanseatische Krankenkasse (Koblenz)
106471003;HEK - Hanseatische Krankenkasse (Pfalz)
106571004;HEK - Hanseatische Krankenkasse (Trier)
106771006;HEK - Hanseatische Krankenkasse (Nordbaden)
107271003;HEK - Hanseatische Krankenkasse (Sachsen)
107371004;HEK - Hanseatische Krankenkasse (Südbaden)
107871009;HEK - Hanseatische Krankenkasse (Südwürttemberg)
108071003;HEK - Hanseatische Krankenkasse (Nordwürttemberg)
108371006;HEK - Hanseatische Krankenkasse (Bayern)
109371008;HEK - Hanseatische Krankenkasse (Saarland)
109571000;HEK - Hanseatische Krankenkasse (Berlin West)
109771002;HEK - Hanseatische Krankenkasse (Berlin Ost)
103170002;Handelskrankenkasse (hkk)    -    Hauptverwaltung
100186801;Handelskrankenkasse (hkk)    -    Mecklenburg-Vorpommern
100586805;Handelskrankenkasse (hkk)    -    Brandenburg
100986809;Handelskrankenkasse (hkk)    -    Sachsen-Anhalt
101386805;Handelskrankenkasse (hkk)    -    Schleswig-Holstein
101586807;Handelskrankenkasse (hkk)    -    Hamburg
101786809;Handelskrankenkasse (hkk)    -    Niedersachsen
103086806;Handelskrankenkasse (hkk)    -    Bremen
103486800;Handelskrankenkasse (hkk)    -    Westfalen-Lippe
104086808;Handelskrankenkasse (hkk)    -    Nordrhein
105086801;Handelskrankenkasse (hkk)    -    Thüringen
105186802;Handelskrankenkasse (hkk)    -    Hessen
106286805;Handelskrankenkasse (hkk)    -    Rheinhessen
106386806;Handelskrankenkasse (hkk)    -    Koblenz
106486807;Handelskrankenkasse (hkk)    -    Pfalz
106586808;Handelskrankenkasse (hkk)    -    Trier
106786800;Handelskrankenkasse (hkk)    -    Nordbaden
107286807;Handelskrankenkasse (hkk)    -    Sachsen
107386808;Handelskrankenkasse (hkk)    -    Südbaden
107886803;Handelskrankenkasse (hkk)    -    Südwürttemberg
108086807;Handelskrankenkasse (hkk)    -    Nordwürttemberg
108386800;Handelskrankenkasse (hkk)    -    Bayern
109386802;Handelskrankenkasse (hkk)    -    Saarland
109586804;Handelskrankenkasse (hkk)    -    Berlin West
109786806;Handelskrankenkasse (hkk)    -    Berlin Ost
108079808;Gmünder ErsatzKasse (GEK) (Hauptverwaltung)
100189688;Gmünder ErsatzKasse (GEK) (Mecklenburg-Vorpommern)
100589682;Gmünder ErsatzKasse (GEK) (Brandenburg)
100989686;Gmünder ErsatzKasse (GEK) (Sachsen-Anhalt)
101389682;Gmünder ErsatzKasse (GEK) (Schleswig-Holstein)
101589684;Gmünder ErsatzKasse (GEK) (Hamburg)
101789686;Gmünder ErsatzKasse (GEK) (Niedersachsen)
103089683;Gmünder ErsatzKasse (GEK) (Bremen)
103489687;Gmünder ErsatzKasse (GEK) (Westfalen-Lippe)
104089685;Gmünder ErsatzKasse (GEK) (Nordrhein)
105089688;Gmünder ErsatzKasse (GEK) (Thüringen)
105189689;Gmünder ErsatzKasse (GEK) (Hessen)
106289682;Gmünder ErsatzKasse (GEK) (Rheinhessen)
106389683;Gmünder ErsatzKasse (GEK) (Koblenz)
106489684;Gmünder ErsatzKasse (GEK) (Pfalz)
106589685;Gmünder ErsatzKasse (GEK) (Trier)
106789687;Gmünder ErsatzKasse (GEK) (Nordbaden)
107289684;Gmünder ErsatzKasse (GEK) (Sachsen)
107389685;Gmünder ErsatzKasse (GEK) (Südbaden)
107889680;Gmünder ErsatzKasse (GEK) (Südwürttemberg)
108089684;Gmünder ErsatzKasse (GEK) (Nordwürttemberg)
108389687;Gmünder ErsatzKasse (GEK) (Bayern)
109389689;Gmünder ErsatzKasse (GEK) (Saarland)
109589681;Gmünder ErsatzKasse (GEK) (Berlin West)
109789683;Gmünder ErsatzKasse (GEK) (Berlin Ost)
101308719;LKK Schleswig-Holstein und Hamburg
102108731;LKK Niedersachsen-Bremen
103708773;LKK Nordrhein-Westfalen
105508787;LKK Hessen, Rheinland-Pfalz und Saarland
100609049;LKK  Mittel- u. Ostdeutschland
105508890;KK  für den Gartenbau
105509083;KK  für den Gartenbau
108008880;LKK Baden-Württemberg
108608820;LKK Franken und Oberbayern
109008837;LKK Niederbayern/Oberpfalz und Schwaben
100105006;Knappschaft Mecklenburg-Vorpommern
100705002;Knappschaft Brandenburg
101005007;Knappschaft Sachsen-Anhalt
101305000;Knappschaft Schleswig Holstein
101505002;Knappschaft Hamburg
102105000;Knappschaft Niedersachsen
103105002;Knappschaft Bremen
103505006;Knappschaft Westfalen-Lippe
104405007;Knappschaft Nordrhein-Westfalen
105505001;Knappschaft Hessen
106005008;Knappschaft Thüringen
106205000;Knappschaft Rheinhessen
106305001;Knappschaft Koblenz
106405002;Knappschaft Pfalz
106505003;Knappschaft Trier
106905007;Knappschaft Nordbaden
107405004;Knappschaft Südbaden
107705007;Knappschaft Sachsen
107805008;Knappschaft Südwürttemberg
108005002;Knappschaft Nordwürttemberg
108405006;Knappschaft Bayern
109305007;Knappschaft Saarland
109505009;Knappschaft Berlin
109705001;Knappschaft Berlin-Ost
109905003;Knappschaft (BVG-Fälle)
109919500;Knappschaft ehem. SKK West
109919511;Knappschaft ehem. SKK Ost
100202549;IKK Nord (Ost)
100602360;IKK Brandenburg und Berlin (Ost) Hauptverwaltung
101202961;IKK gesund plus (Ost)
101300129;IKK Nord (West)
101500154;IKK classic HV Hamburg
103100201;IKK gesund plus (West)
103500693;Vereinigte IKK (West)
103500706;Vereinigte IKK (Ost)
103501080;BIG direkt gesund (West)
103501091;BIG direkt gesund (Ost)
104001441;Vereinigte IKK RD Nordrhein
106201379;IKK Südwest-Plus Hauptverwaltung
107202793;IKK classic HV Dresden
109303301;IKK Südwest
109500297;IKK Brandenburg und Berlin (West)
109999999;DGUV Test GKV                 (Test-IK für die Softwarehäuser)
 ;Privat
 ;Unbekannt
 ;Sonstige
