"Kunden Nr."	"Kunde"	"Material Nr."	Anfangsbestand	Retourniert	Zu berechnen
"211613"	"PV Automotive GmbH"	"12.999.01.003"	0	0	0
"211802"	"RUDOLF RANCKE"	"12.999.01.003"	0	1	-1
"211813"	"Reiling Nutzfahrzeugservice GmbH"	"12.999.01.001"	0	0	0
"211906"	"SPIER  GMBH & CO."	"12.999.01.001"	2	5	-3
"211906"	"SPIER  GMBH & CO."	"12.999.01.003"	2	4	-2
"211906"	"SPIER  GMBH & CO."	"12.999.01.008"	6	0	6
"211906"	"SPIER  GMBH & CO."	"12.999.01.162"	4	0	4
"211906"	"SPIER  GMBH & CO."	"12.999.01.163"	0	0	0
"211906"	"SPIER  GMBH & CO."	"12.999.01.188"	0	1	-1
"211912"	"Ludwig Südbeck Nutzfahrzeuge GmbH"	"12.999.01.001"	0	0	0
"211915"	"JUERGEN STERN"	"12.999.01.001"	0	0	0
"212004"	"SCHROEDER"	"12.999.01.001"	1	1	0
"212004"	"SCHROEDER"	"12.999.01.003"	0	0	0
"212004"	"SCHROEDER"	"12.999.01.162"	0	0	0
"212004"	"SCHROEDER"	"12.999.01.163"	0	0	0
"212004"	"SCHROEDER"	"12.999.01.188"	0	0	0
"212010"	"SCHUETTE FAHRZEUGBAU GMBH"	"12.999.01.001"	0	1	-1
"212010"	"SCHUETTE FAHRZEUGBAU GMBH"	"12.999.01.003"	0	1	-1
"212012"	"KFB Jessen GmbH"	"12.999.01.001"	2	0	2
"212012"	"KFB Jessen GmbH"	"12.999.01.003"	2	0	2
"212020"	"E. SCHWAGMEIER KAROSSERIE- UND"	"12.999.01.001"	0	0	0
"212020"	"E. SCHWAGMEIER KAROSSERIE- UND"	"12.999.01.003"	0	0	0
"212109"	"Stehmann GmbH"	"12.999.01.001"	3	3	0
"212109"	"Stehmann GmbH"	"12.999.01.003"	1	1	0
"212109"	"Stehmann GmbH"	"12.999.01.188"	2	1	1
"212110"	"METALLBAU STAGGENBORG GMBH"	"12.999.01.001"	-4	1	-5
"212110"	"METALLBAU STAGGENBORG GMBH"	"12.999.01.003"	2	0	2
"212209"	"HERMANN TECHAU"	"12.999.01.001"	0	0	0
"212213"	"TOS TWIST"	"12.999.01.001"	1	1	0
"212215"	"Jacob Thaler GmbH"	"12.999.01.001"	2	2	0
"212504"	"Lely Vermeer"	"12.999.01.003"	1	0	1
"212504"	"Lely Vermeer"	"12.999.01.008"	2	0	2
"212508"	"WABCO GmbH & Co. OHG"	"12.999.01.001"	-6	5	-11
"212527"	"Wiese GmbH & Co. KG"	"12.999.01.001"	2	1	1
"212527"	"Wiese GmbH & Co. KG"	"12.999.01.003"	1	1	0
"212527"	"Wiese GmbH & Co. KG"	"12.999.01.188"	3	0	3
"212528"	"WILKEN"	"12.999.01.003"	1	1	0
"212528"	"WILKEN"	"12.999.01.188"	8	9	-1
"212532"	"WIENHOFF"	"12.999.01.001"	2	2	0
"212534"	"Heinrich Wellmeyer Fahrzeugbau"	"12.999.01.001"	6	4	2
"212534"	"Heinrich Wellmeyer Fahrzeugbau"	"12.999.01.162"	4	0	4
"212534"	"Heinrich Wellmeyer Fahrzeugbau"	"12.999.01.163"	1	0	1
"212534"	"Heinrich Wellmeyer Fahrzeugbau"	"12.999.01.188"	10	3	7
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.001"	41	6	35
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.003"	1	2	-1
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.008"	0	0	0
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.162"	0	0	0
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.163"	0	0	0
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.188"	14	7	7
"220116"	"ATV-ELMER GMBH & CO. KG"	"12.999.01.001"	2	0	2
"220116"	"ATV-ELMER GMBH & CO. KG"	"12.999.01.003"	2	0	2
"220118"	"AMAZONEN-WERKE"	"12.999.01.001"	10	0	10
"220118"	"AMAZONEN-WERKE"	"12.999.01.003"	5	2	3
"220118"	"AMAZONEN-WERKE"	"12.999.01.008"	5	2	3
"220204"	"Bierhake Fahrzeugteile"	"12.999.01.001"	0	1	-1
"220205"	"Bierhake Fahrzeugteile"	"12.999.01.001"	2	5	-3
"220205"	"Bierhake Fahrzeugteile"	"12.999.01.003"	1	1	0
"220228"	"Bohnenkamp AG"	"12.999.01.001"	5	0	5
"220228"	"Bohnenkamp AG"	"12.999.01.003"	1	1	0
"220252"	"PAUL BRUESER GMBH"	"12.999.01.001"	-1	48	-49
"220252"	"PAUL BRUESER GMBH"	"12.999.01.003"	-3	125	-128
"220252"	"PAUL BRUESER GMBH"	"12.999.01.008"	460	471	-11
"220252"	"PAUL BRUESER GMBH"	"12.999.01.011"	3	0	3
"220254"	"BWO BEHINDERTEN-WERKSTAETTEN"	"12.999.01.001"	-30	49	-79
"220254"	"BWO BEHINDERTEN-WERKSTAETTEN"	"12.999.01.003"	98	49	49
"220254"	"BWO BEHINDERTEN-WERKSTAETTEN"	"12.999.01.008"	111	184	-73
"220255"	"BWO BEHINDERTEN-WERSTAETTEN"	"12.999.01.001"	-6	139	-145
"220255"	"BWO BEHINDERTEN-WERSTAETTEN"	"12.999.01.003"	4	61	-57
"220255"	"BWO BEHINDERTEN-WERSTAETTEN"	"12.999.01.008"	26	84	-58
"220312"	"MANNSTAEDT GMBH & CO. KG"	"12.999.01.001"	17	18	-1
"220312"	"MANNSTAEDT GMBH & CO. KG"	"12.999.01.003"	2	0	2
"220414"	"FAHRZEUGBAU DRUMANN GMBH"	"12.999.01.001"	1	1	0
"220414"	"FAHRZEUGBAU DRUMANN GMBH"	"12.999.01.003"	0	0	0
"220414"	"FAHRZEUGBAU DRUMANN GMBH"	"12.999.01.188"	1	1	0
"220510"	"EUROPART Trading GmbH"	"12.999.01.003"	0	1	-1
"220523"	"EUROPART  Trading GmbH"	"12.999.01.001"	0	1	-1
"220628"	"FONTANA GMBH"	"12.999.01.003"	-300	34	-334
"220628"	"FONTANA GMBH"	"12.999.01.008"	521	91	430
"220629"	"GEORG FISCHER GMBH & CO. KG"	"12.999.01.001"	-7	0	-7
"220629"	"GEORG FISCHER GMBH & CO. KG"	"12.999.01.003"	-9	0	-9
"220703"	"GOFA Gocher Fahrzeugbau GmbH"	"12.999.01.001"	12	2	10
"220703"	"GOFA Gocher Fahrzeugbau GmbH"	"12.999.01.003"	6	2	4
"220703"	"GOFA Gocher Fahrzeugbau GmbH"	"12.999.01.008"	1	0	1
"220703"	"GOFA Gocher Fahrzeugbau GmbH"	"12.999.01.162"	4	0	4
"220703"	"GOFA Gocher Fahrzeugbau GmbH"	"12.999.01.188"	11	8	3
"220814"	"Beilharz Nutzfahrzeuge"	"12.999.01.001"	0	0	0
"220814"	"Beilharz Nutzfahrzeuge"	"12.999.01.003"	0	0	0
"220831"	"AUTOTEILE HERRMANN GMBH"	"12.999.01.001"	1	1	0
"220843"	"HEETMANN & FINKENSIEP"	"12.999.01.003"	5	111	-106
"220843"	"HEETMANN & FINKENSIEP"	"12.999.01.008"	220	360	-140
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.001"	716	1002	-286
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.003"	66	69	-3
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.008"	91	114	-23
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.162"	54	464	-410
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.163"	26	124	-98
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.188"	286	1992	-1706
"221114"	"KLAESER INTERN. FACHSPEDITION"	"12.999.01.001"	7	3	4
"221114"	"KLAESER INTERN. FACHSPEDITION"	"12.999.01.003"	9	3	6
"221114"	"KLAESER INTERN. FACHSPEDITION"	"12.999.01.188"	2	0	2
"221126"	"Kroll Fahrzeugbau-"	"12.999.01.001"	0	0	0
"221126"	"Kroll Fahrzeugbau-"	"12.999.01.003"	0	0	0
"221155"	"KRAMPE"	"12.999.01.001"	1	1	0
"221155"	"KRAMPE"	"12.999.01.003"	2	2	0
"221207"	"LEVEN NUTZFAHRZEUGE"	"12.999.01.001"	3	4	-1
"221207"	"LEVEN NUTZFAHRZEUGE"	"12.999.01.003"	0	0	0
"221213"	"Hermann Langfeld e.K."	"12.999.01.001"	4	1	3
"221213"	"Hermann Langfeld e.K."	"12.999.01.003"	0	0	0
"221213"	"Hermann Langfeld e.K."	"12.999.01.188"	4	1	3
"221214"	"LOECHTERFELD GMBH"	"12.999.01.001"	9	9	0
"221214"	"LOECHTERFELD GMBH"	"12.999.01.003"	5	5	0
"221221"	"LANCIER CABLE GMBH"	"12.999.01.001"	0	0	0
"221229"	"LEMKEN GMBH & CO. KG"	"12.999.01.001"	1	1	0
"221229"	"LEMKEN GMBH & CO. KG"	"12.999.01.008"	0	0	0
"221233"	"LANGENDORF GmbH"	"12.999.01.001"	189	119	70
"221233"	"LANGENDORF GmbH"	"12.999.01.003"	20	27	-7
"221233"	"LANGENDORF GmbH"	"12.999.01.008"	34	48	-14
"221233"	"LANGENDORF GmbH"	"12.999.01.162"	-2	8	-10
"221233"	"LANGENDORF GmbH"	"12.999.01.163"	2	2	0
"221233"	"LANGENDORF GmbH"	"12.999.01.188"	49	42	7
"221309"	"ANHAENGER- U. FAHRZEUGBAU"	"12.999.01.001"	6	4	2
"221309"	"ANHAENGER- U. FAHRZEUGBAU"	"12.999.01.008"	1	0	1
"221309"	"ANHAENGER- U. FAHRZEUGBAU"	"12.999.01.188"	3	2	1
"221404"	"NTV NUTZFAHRZEUGTEILE"	"12.999.01.001"	21	21	0
"221404"	"NTV NUTZFAHRZEUGTEILE"	"12.999.01.003"	11	11	0
"221506"	"OSTERATH GMBH"	"12.999.01.001"	1	0	1
"221506"	"OSTERATH GMBH"	"12.999.01.003"	2	0	2
"221609"	"PV Automotive GmbH"	"12.999.01.003"	1	0	1
"221610"	"PV Automotive GmbH"	"12.999.01.001"	43	32	11
"221610"	"PV Automotive GmbH"	"12.999.01.003"	10	8	2
"221806"	"Fahrzeugbau Robert GmbH"	"12.999.01.001"	1	1	0
"221806"	"Fahrzeugbau Robert GmbH"	"12.999.01.003"	1	1	0
"221813"	"GEBR. RECKER GMBH"	"12.999.01.001"	0	0	0
"221813"	"GEBR. RECKER GMBH"	"12.999.01.162"	4	0	4
"221813"	"GEBR. RECKER GMBH"	"12.999.01.163"	1	0	1
"221815"	"RI-FA"	"12.999.01.001"	0	9	-9
"221815"	"RI-FA"	"12.999.01.003"	0	0	0
"221907"	"SUER NUTZFAHRZEUGTECHNIK Gmbh & Co"	"12.999.01.001"	0	0	0
"221921"	"SIEPMANN-WERKE"	"12.999.01.001"	-1	0	-1
"222002"	"August Schmidt GmbH & Co. KG"	"12.999.01.001"	5	6	-1
"222002"	"August Schmidt GmbH & Co. KG"	"12.999.01.003"	6	6	0
"222002"	"August Schmidt GmbH & Co. KG"	"12.999.01.008"	0	0	0
"222002"	"August Schmidt GmbH & Co. KG"	"12.999.01.188"	11	2	9
"222019"	"SCHMIDT KRAFTFAHRZEUG-"	"12.999.01.001"	5	15	-10
"222019"	"SCHMIDT KRAFTFAHRZEUG-"	"12.999.01.003"	0	0	0
"222027"	"WILLI SCHOLZ GMBH & CO. KG"	"12.999.01.003"	0	0	0
"222030"	"SCHMITZ-CARGOBULL AG"	"12.999.01.001"	5	7	-2
"222030"	"SCHMITZ-CARGOBULL AG"	"12.999.01.003"	-17	0	-17
"222030"	"SCHMITZ-CARGOBULL AG"	"12.999.01.188"	5	14	-9
"222032"	"SCHMITZ-CARGOBULL AG"	"12.999.01.001"	8	25	-17
"222032"	"SCHMITZ-CARGOBULL AG"	"12.999.01.003"	-7	1	-8
"222032"	"SCHMITZ-CARGOBULL AG"	"12.999.01.008"	1	0	1
"222032"	"SCHMITZ-CARGOBULL AG"	"12.999.01.188"	70	96	-26
"222037"	"SCHRADER-T + A + Fahrzeugbau"	"12.999.01.001"	9	9	0
"222037"	"SCHRADER-T + A + Fahrzeugbau"	"12.999.01.008"	1	0	1
"222037"	"SCHRADER-T + A + Fahrzeugbau"	"12.999.01.188"	20	17	3
"222042"	"SCHMIEDAG GMBH"	"12.999.01.001"	11	0	11
"222107"	"STAPEL GMBH"	"12.999.01.001"	0	1	-1
"222204"	"GEBR. TITGEMEYER GMBH & CO. KG"	"12.999.01.001"	0	1	-1
"222204"	"GEBR. TITGEMEYER GMBH & CO. KG"	"12.999.01.003"	0	1	-1
"222216"	"Albert Tebbe GmbH"	"12.999.01.001"	0	0	0
"222216"	"Albert Tebbe GmbH"	"12.999.01.003"	0	0	0
"222540"	"WINKLER FAHRZEUGTEILE GMBH"	"12.999.01.001"	0	0	0
"222543"	"WECON"	"12.999.01.001"	18	4	14
"222543"	"WECON"	"12.999.01.003"	8	8	0
"222543"	"WECON"	"12.999.01.008"	5	0	5
"222543"	"WECON"	"12.999.01.162"	2	0	2
"222543"	"WECON"	"12.999.01.165"	2	0	2
"222543"	"WECON"	"12.999.01.188"	5	1	4
"222547"	"W+O NIETTECHNIK GMBH"	"12.999.01.001"	1	0	1
"222547"	"W+O NIETTECHNIK GMBH"	"12.999.01.003"	84	0	84
"222547"	"W+O NIETTECHNIK GMBH"	"12.999.01.008"	208	0	208
"223001"	"SCHOMAECKER FEDERNWERK GMBH"	"12.999.01.001"	71	0	71
"223001"	"SCHOMAECKER FEDERNWERK GMBH"	"12.999.01.003"	-186	663	-849
"223008"	"Rütgers GmbH & Co. KG"	"12.999.01.001"	0	0	0
"223008"	"Rütgers GmbH & Co. KG"	"12.999.01.003"	0	0	0
"223017"	"WESTFALEN AG"	"12.999.01.001"	0	1	-1
"230000"	"BPW Bergische Achsen"	"12.999.01.001"	23	4	19
"230000"	"BPW Bergische Achsen"	"12.999.01.003"	56	18	38
"230000"	"BPW Bergische Achsen"	"12.999.01.008"	5	1	4
"240213"	"BERGER KAROSSERIE-"	"12.999.01.001"	0	0	0
"240213"	"BERGER KAROSSERIE-"	"12.999.01.003"	0	0	0
"240240"	"Benninghoven GmbH & Co KG"	"12.999.01.003"	5	0	5
"240304"	"CHRISTMANN-FAHRZEUGBAU"	"12.999.01.003"	1	1	0
"240505"	"DR. ING. ULRICH ESTERER GMBH & CO."	"12.999.01.001"	0	0	0
"240505"	"DR. ING. ULRICH ESTERER GMBH & CO."	"12.999.01.003"	0	0	0
"240518"	"EUROPART"	"12.999.01.001"	0	0	0
"240520"	"EUROPART  Trading GMBH"	"12.999.01.001"	0	0	0
"240522"	"EISEL NUTZFAHRZEUGE GMBH"	"12.999.01.001"	1	1	0
"240522"	"EISEL NUTZFAHRZEUGE GMBH"	"12.999.01.003"	1	1	0
"240522"	"EISEL NUTZFAHRZEUGE GMBH"	"12.999.01.188"	0	1	-1
"240632"	"Fischer Fahrzeugbau GmbH"	"12.999.01.001"	1	0	1
"240733"	"GANGOLF NUTZFAHRZEUGE GMBH"	"12.999.01.001"	2	0	2
"240827"	"HEURICH"	"12.999.01.001"	0	0	0
"240827"	"HEURICH"	"12.999.01.003"	0	0	0
"240836"	"HAGE, KNAPP & CO."	"12.999.01.001"	3	2	1
"240836"	"HAGE, KNAPP & CO."	"12.999.01.003"	1	1	0
"240836"	"HAGE, KNAPP & CO."	"12.999.01.188"	1	0	1
"241008"	"Jost  Werke GmbH"	"12.999.01.001"	-118	5	-123
"241008"	"Jost  Werke GmbH"	"12.999.01.003"	-1	0	-1
"241114"	"ERICH KERSTING GMBH & CO. KG"	"12.999.01.001"	1	2	-1
"241114"	"ERICH KERSTING GMBH & CO. KG"	"12.999.01.003"	0	0	0
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.001"	83	90	-7
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.003"	2	10	-8
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.008"	2	1	1
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.162"	0	0	0
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.163"	0	0	0
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.188"	73	79	-6
"241146"	"KEMPF FAHRZEUGBAU"	"12.999.01.001"	2	0	2
"241146"	"KEMPF FAHRZEUGBAU"	"12.999.01.188"	3	0	3
"241214"	"LUECK FAHRZEUGBAU GMBH"	"12.999.01.001"	3	0	3
"241214"	"LUECK FAHRZEUGBAU GMBH"	"12.999.01.003"	1	0	1
"241214"	"LUECK FAHRZEUGBAU GMBH"	"12.999.01.188"	3	0	3
"241216"	"LEISE GMBH & CO. KG"	"12.999.01.001"	5	9	-4
"241216"	"LEISE GMBH & CO. KG"	"12.999.01.003"	1	1	0
"241217"	"KRAMP Groep B.V."	"12.999.01.001"	1	3	-2
"241328"	"A. MUELLER FAHRZEUGBAU GMBH"	"12.999.01.001"	6	3	3
"241328"	"A. MUELLER FAHRZEUGBAU GMBH"	"12.999.01.003"	5	4	1
"241328"	"A. MUELLER FAHRZEUGBAU GMBH"	"12.999.01.188"	2	0	2
"241349"	"F. MUELLER GMBH & CO. KG"	"12.999.01.003"	1	1	0
"241350"	"MENZER GMBH"	"12.999.01.001"	0	0	0
"241505"	"ORTEN GMBH & CO. KG"	"12.999.01.001"	0	0	0
"241618"	"PROFI PARTS"	"12.999.01.001"	108	9	99
"241618"	"PROFI PARTS"	"12.999.01.003"	-8	0	-8
"241619"	"PROFI PARTS"	"12.999.01.001"	6	2	4
"241620"	"PROFI PARTS"	"12.999.01.001"	1	1	0
"241829"	"ROETTGER"	"12.999.01.001"	0	0	0
"241829"	"ROETTGER"	"12.999.01.003"	0	0	0
"241841"	"Winkler Logistik GmbH"	"12.999.01.001"	0	23	-23
"241841"	"Winkler Logistik GmbH"	"12.999.01.003"	0	17	-17
