"Kunden Nr."	"Kunde"	"Material Nr."	Anfangsbestand	Retourniert	Zu berechnen
"212110"	"METALLBAU STAGGENBORG GMBH"	"12.999.01.003"	2	0	2
"212209"	"HERMANN TECHAU"	"12.999.01.001"	0	0	0
"212213"	"TOS TWIST"	"12.999.01.001"	1	1	0
"212215"	"Jacob Thaler GmbH"	"12.999.01.001"	2	0	2
"212504"	"Lely Vermeer"	"12.999.01.003"	1	0	1
"212504"	"Lely Vermeer"	"12.999.01.008"	2	0	2
"212508"	"WABCO GmbH & Co. OHG"	"12.999.01.001"	-9	0	-9
"212527"	"Wiese GmbH & Co. KG"	"12.999.01.001"	2	1	1
"212527"	"Wiese GmbH & Co. KG"	"12.999.01.003"	1	1	0
"212527"	"Wiese GmbH & Co. KG"	"12.999.01.188"	3	0	3
"212528"	"WILKEN"	"12.999.01.188"	6	4	2
"212534"	"Heinrich Wellmeyer Fahrzeugbau"	"12.999.01.001"	9	3	6
"212534"	"Heinrich Wellmeyer Fahrzeugbau"	"12.999.01.003"	0	0	0
"212534"	"Heinrich Wellmeyer Fahrzeugbau"	"12.999.01.162"	4	0	4
"212534"	"Heinrich Wellmeyer Fahrzeugbau"	"12.999.01.163"	1	0	1
"212534"	"Heinrich Wellmeyer Fahrzeugbau"	"12.999.01.188"	10	2	8
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.001"	45	2	43
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.003"	1	1	0
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.008"	1	0	1
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.162"	4	0	4
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.163"	1	0	1
"212535"	"Weka Fahrzeugbau GmbH"	"12.999.01.188"	13	2	11
"220116"	"ATV-ELMER GMBH & CO. KG"	"12.999.01.001"	2	0	2
"220116"	"ATV-ELMER GMBH & CO. KG"	"12.999.01.003"	2	0	2
"220118"	"AMAZONEN-WERKE"	"12.999.01.001"	10	0	10
"220118"	"AMAZONEN-WERKE"	"12.999.01.003"	4	1	3
"220118"	"AMAZONEN-WERKE"	"12.999.01.008"	3	0	3
"220204"	"Bierhake Fahrzeugteile"	"12.999.01.001"	0	1	-1
"220205"	"Bierhake Fahrzeugteile"	"12.999.01.001"	0	3	-3
"220210"	"BOECKER Maschinenwerke GmbH"	"12.999.01.001"	0	0	0
"220228"	"Bohnenkamp AG"	"12.999.01.001"	5	0	5
"220252"	"PAUL BRUESER GMBH"	"12.999.01.001"	-16	0	-16
"220252"	"PAUL BRUESER GMBH"	"12.999.01.003"	12	28	-16
"220252"	"PAUL BRUESER GMBH"	"12.999.01.008"	570	150	420
"220252"	"PAUL BRUESER GMBH"	"12.999.01.011"	3	0	3
"220254"	"BWO BEHINDERTEN-WERKSTAETTEN"	"12.999.01.001"	-21	25	-46
"220254"	"BWO BEHINDERTEN-WERKSTAETTEN"	"12.999.01.003"	97	15	82
"220254"	"BWO BEHINDERTEN-WERKSTAETTEN"	"12.999.01.008"	58	51	7
"220255"	"BWO BEHINDERTEN-WERSTAETTEN"	"12.999.01.001"	-13	104	-117
"220255"	"BWO BEHINDERTEN-WERSTAETTEN"	"12.999.01.003"	11	53	-42
"220255"	"BWO BEHINDERTEN-WERSTAETTEN"	"12.999.01.008"	52	48	4
"220312"	"MANNSTAEDT GMBH & CO. KG"	"12.999.01.001"	7	4	3
"220312"	"MANNSTAEDT GMBH & CO. KG"	"12.999.01.003"	2	0	2
"220414"	"FAHRZEUGBAU DRUMANN GMBH"	"12.999.01.001"	0	0	0
"220414"	"FAHRZEUGBAU DRUMANN GMBH"	"12.999.01.003"	0	0	0
"220523"	"EUROPART  Trading GmbH"	"12.999.01.001"	0	1	-1
"220628"	"FONTANA GMBH"	"12.999.01.003"	-279	0	-279
"220628"	"FONTANA GMBH"	"12.999.01.008"	594	0	594
"220629"	"GEORG FISCHER GMBH & CO. KG"	"12.999.01.001"	-1	0	-1
"220629"	"GEORG FISCHER GMBH & CO. KG"	"12.999.01.003"	-7	0	-7
"220703"	"GOFA Gocher Fahrzeugbau GmbH"	"12.999.01.001"	18	0	18
"220703"	"GOFA Gocher Fahrzeugbau GmbH"	"12.999.01.003"	4	0	4
"220703"	"GOFA Gocher Fahrzeugbau GmbH"	"12.999.01.008"	1	0	1
"220703"	"GOFA Gocher Fahrzeugbau GmbH"	"12.999.01.162"	4	0	4
"220703"	"GOFA Gocher Fahrzeugbau GmbH"	"12.999.01.188"	14	6	8
"220814"	"Beilharz Nutzfahrzeuge"	"12.999.01.001"	2	0	2
"220814"	"Beilharz Nutzfahrzeuge"	"12.999.01.003"	1	0	1
"220843"	"HEETMANN & FINKENSIEP"	"12.999.01.003"	-10	30	-40
"220843"	"HEETMANN & FINKENSIEP"	"12.999.01.008"	98	80	18
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.001"	996	383	613
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.003"	9	12	-3
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.008"	21	44	-23
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.162"	304	282	22
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.163"	87	77	10
"221113"	"Fahrzeugwerk Bernard Krone GmbH"	"12.999.01.188"	437	781	-344
"221114"	"KLAESER INTERN. FACHSPEDITION"	"12.999.01.001"	4	0	4
"221114"	"KLAESER INTERN. FACHSPEDITION"	"12.999.01.003"	6	0	6
"221114"	"KLAESER INTERN. FACHSPEDITION"	"12.999.01.188"	2	0	2
"221126"	"Kroll Fahrzeugbau-"	"12.999.01.001"	1	0	1
"221126"	"Kroll Fahrzeugbau-"	"12.999.01.003"	1	0	1
"221126"	"Kroll Fahrzeugbau-"	"12.999.01.188"	0	0	0
"221155"	"KRAMPE"	"12.999.01.001"	0	0	0
"221155"	"KRAMPE"	"12.999.01.003"	0	0	0
"221207"	"LEVEN NUTZFAHRZEUGE"	"12.999.01.001"	0	1	-1
"221207"	"LEVEN NUTZFAHRZEUGE"	"12.999.01.003"	0	0	0
"221213"	"Hermann Langfeld e.K."	"12.999.01.001"	3	0	3
"221213"	"Hermann Langfeld e.K."	"12.999.01.003"	0	0	0
"221213"	"Hermann Langfeld e.K."	"12.999.01.188"	3	0	3
"221214"	"LOECHTERFELD GMBH"	"12.999.01.001"	1	1	0
"221214"	"LOECHTERFELD GMBH"	"12.999.01.003"	0	0	0
"221221"	"LANCIER CABLE GMBH"	"12.999.01.001"	0	0	0
"221229"	"LEMKEN GMBH & CO. KG"	"12.999.01.001"	1	0	1
"221229"	"LEMKEN GMBH & CO. KG"	"12.999.01.008"	5	0	5
"221233"	"LANGENDORF GmbH"	"12.999.01.001"	201	53	148
"221233"	"LANGENDORF GmbH"	"12.999.01.003"	2	8	-6
"221233"	"LANGENDORF GmbH"	"12.999.01.008"	36	19	17
"221233"	"LANGENDORF GmbH"	"12.999.01.162"	2	8	-6
"221233"	"LANGENDORF GmbH"	"12.999.01.163"	4	2	2
"221233"	"LANGENDORF GmbH"	"12.999.01.188"	43	17	26
"221309"	"ANHAENGER- U. FAHRZEUGBAU"	"12.999.01.001"	2	0	2
"221309"	"ANHAENGER- U. FAHRZEUGBAU"	"12.999.01.008"	1	0	1
"221309"	"ANHAENGER- U. FAHRZEUGBAU"	"12.999.01.188"	1	0	1
"221404"	"NTV NUTZFAHRZEUGTEILE"	"12.999.01.001"	15	9	6
"221404"	"NTV NUTZFAHRZEUGTEILE"	"12.999.01.003"	2	1	1
"221506"	"OSTERATH GMBH"	"12.999.01.001"	1	0	1
"221506"	"OSTERATH GMBH"	"12.999.01.003"	2	0	2
"221506"	"OSTERATH GMBH"	"12.999.01.188"	0	0	0
"221609"	"PV Automotive GmbH"	"12.999.01.003"	1	0	1
"221610"	"PV Automotive GmbH"	"12.999.01.001"	26	15	11
"221610"	"PV Automotive GmbH"	"12.999.01.003"	5	3	2
"221610"	"PV Automotive GmbH"	"12.999.01.008"	0	0	0
"221613"	"PV Automotive GmbH"	"12.999.01.003"	0	0	0
"221806"	"Fahrzeugbau Robert GmbH"	"12.999.01.001"	1	1	0
"221813"	"GEBR. RECKER GMBH"	"12.999.01.001"	2	0	2
"221813"	"GEBR. RECKER GMBH"	"12.999.01.162"	4	0	4
"221813"	"GEBR. RECKER GMBH"	"12.999.01.163"	1	0	1
"221815"	"RI-FA"	"12.999.01.001"	0	0	0
"221815"	"RI-FA"	"12.999.01.003"	0	0	0
"221907"	"SUER NUTZFAHRZEUGTECHNIK Gmbh & Co"	"12.999.01.001"	0	0	0
"221921"	"SIEPMANN-WERKE"	"12.999.01.001"	-1	0	-1
"222002"	"August Schmidt GmbH & Co. KG"	"12.999.01.001"	16	2	14
"222002"	"August Schmidt GmbH & Co. KG"	"12.999.01.003"	7	1	6
"222002"	"August Schmidt GmbH & Co. KG"	"12.999.01.008"	2	0	2
"222002"	"August Schmidt GmbH & Co. KG"	"12.999.01.188"	13	2	11
"222016"	"FORTUNA FAHRZEUGBAU GMBH & CO. KG"	"12.999.01.003"	0	0	0
"222019"	"SCHMIDT KRAFTFAHRZEUG-"	"12.999.01.001"	3	4	-1
"222019"	"SCHMIDT KRAFTFAHRZEUG-"	"12.999.01.003"	0	0	0
"222027"	"WILLI SCHOLZ GMBH & CO. KG"	"12.999.01.003"	1	0	1
"222030"	"SCHMITZ-CARGOBULL AG"	"12.999.01.001"	8	4	4
"222030"	"SCHMITZ-CARGOBULL AG"	"12.999.01.003"	-16	0	-16
"222030"	"SCHMITZ-CARGOBULL AG"	"12.999.01.188"	22	12	10
"222032"	"SCHMITZ-CARGOBULL AG"	"12.999.01.001"	-2	7	-9
"222032"	"SCHMITZ-CARGOBULL AG"	"12.999.01.003"	-4	0	-4
"222032"	"SCHMITZ-CARGOBULL AG"	"12.999.01.008"	1	0	1
"222032"	"SCHMITZ-CARGOBULL AG"	"12.999.01.188"	82	27	55
"222037"	"SCHRADER-T + A + Fahrzeugbau"	"12.999.01.001"	2	0	2
"222037"	"SCHRADER-T + A + Fahrzeugbau"	"12.999.01.008"	1	0	1
"222037"	"SCHRADER-T + A + Fahrzeugbau"	"12.999.01.188"	10	0	10
"222042"	"SCHMIEDAG GMBH"	"12.999.01.001"	11	0	11
"222107"	"STAPEL GMBH"	"12.999.01.001"	1	1	0
"222203"	"KARL TANG GMBH"	"12.999.01.001"	0	0	0
"222203"	"KARL TANG GMBH"	"12.999.01.003"	0	0	0
"222204"	"GEBR. TITGEMEYER GMBH & CO. KG"	"12.999.01.001"	0	0	0
"222204"	"GEBR. TITGEMEYER GMBH & CO. KG"	"12.999.01.003"	0	0	0
"222216"	"Albert Tebbe GmbH"	"12.999.01.001"	3	0	3
"222216"	"Albert Tebbe GmbH"	"12.999.01.003"	2	0	2
"222540"	"WINKLER FAHRZEUGTEILE GMBH"	"12.999.01.001"	1	0	1
"222543"	"WECON"	"12.999.01.001"	31	2	29
"222543"	"WECON"	"12.999.01.003"	37	5	32
"222543"	"WECON"	"12.999.01.008"	5	0	5
"222543"	"WECON"	"12.999.01.162"	2	0	2
"222543"	"WECON"	"12.999.01.165"	2	0	2
"222543"	"WECON"	"12.999.01.188"	10	0	10
"222547"	"W+O NIETTECHNIK GMBH"	"12.999.01.001"	1	0	1
"222547"	"W+O NIETTECHNIK GMBH"	"12.999.01.003"	99	0	99
"222547"	"W+O NIETTECHNIK GMBH"	"12.999.01.008"	252	0	252
"223001"	"SCHOMAECKER FEDERNWERK GMBH"	"12.999.01.001"	71	0	71
"223001"	"SCHOMAECKER FEDERNWERK GMBH"	"12.999.01.003"	-710	0	-710
"223008"	"Rütgers GmbH & Co. KG"	"12.999.01.001"	2	0	2
"223008"	"Rütgers GmbH & Co. KG"	"12.999.01.003"	12	0	12
"223017"	"WESTFALEN AG"	"12.999.01.003"	0	0	0
"230000"	"BPW Bergische Achsen"	"12.999.01.001"	19	0	19
"230000"	"BPW Bergische Achsen"	"12.999.01.003"	45	4	41
"230000"	"BPW Bergische Achsen"	"12.999.01.008"	5	1	4
"240213"	"BERGER KAROSSERIE-"	"12.999.01.001"	0	0	0
"240213"	"BERGER KAROSSERIE-"	"12.999.01.003"	0	0	0
"240240"	"Benninghoven GmbH & Co KG"	"12.999.01.003"	5	0	5
"240505"	"DR. ING. ULRICH ESTERER GMBH & CO."	"12.999.01.001"	0	0	0
"240505"	"DR. ING. ULRICH ESTERER GMBH & CO."	"12.999.01.003"	0	0	0
"240518"	"EUROPART"	"12.999.01.001"	1	0	1
"240520"	"EUROPART  Trading GMBH"	"12.999.01.001"	1	0	1
"240522"	"EISEL NUTZFAHRZEUGE GMBH"	"12.999.01.001"	4	0	4
"240522"	"EISEL NUTZFAHRZEUGE GMBH"	"12.999.01.003"	2	0	2
"240522"	"EISEL NUTZFAHRZEUGE GMBH"	"12.999.01.188"	2	0	2
"240632"	"Fischer Fahrzeugbau GmbH"	"12.999.01.001"	1	0	1
"240733"	"GANGOLF NUTZFAHRZEUGE GMBH"	"12.999.01.001"	2	0	2
"240827"	"HEURICH"	"12.999.01.001"	1	0	1
"240827"	"HEURICH"	"12.999.01.003"	2	0	2
"240836"	"HAGE, KNAPP & CO."	"12.999.01.001"	3	2	1
"240836"	"HAGE, KNAPP & CO."	"12.999.01.003"	1	1	0
"240836"	"HAGE, KNAPP & CO."	"12.999.01.188"	1	0	1
"241008"	"Jost  Werke GmbH"	"12.999.01.001"	-108	0	-108
"241008"	"Jost  Werke GmbH"	"12.999.01.003"	-1	0	-1
"241114"	"ERICH KERSTING GMBH & CO. KG"	"12.999.01.001"	2	0	2
"241114"	"ERICH KERSTING GMBH & CO. KG"	"12.999.01.003"	2	0	2
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.001"	82	25	57
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.003"	-1	0	-1
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.008"	2	1	1
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.162"	16	0	16
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.163"	4	0	4
"241134"	"Fahrzeugbau Kempf GmbH"	"12.999.01.188"	92	26	66
"241146"	"KEMPF FAHRZEUGBAU"	"12.999.01.001"	2	0	2
"241146"	"KEMPF FAHRZEUGBAU"	"12.999.01.188"	3	0	3
"241214"	"LUECK FAHRZEUGBAU GMBH"	"12.999.01.001"	3	0	3
"241214"	"LUECK FAHRZEUGBAU GMBH"	"12.999.01.003"	1	0	1
"241214"	"LUECK FAHRZEUGBAU GMBH"	"12.999.01.188"	3	0	3
"241216"	"LEISE GMBH & CO. KG"	"12.999.01.001"	2	6	-4
"241216"	"LEISE GMBH & CO. KG"	"12.999.01.003"	0	0	0
"241217"	"KRAMP Groep B.V."	"12.999.01.001"	3	0	3
"241217"	"KRAMP Groep B.V."	"12.999.01.008"	0	0	0
"241328"	"A. MUELLER FAHRZEUGBAU GMBH"	"12.999.01.001"	5	2	3
"241328"	"A. MUELLER FAHRZEUGBAU GMBH"	"12.999.01.003"	3	2	1
"241328"	"A. MUELLER FAHRZEUGBAU GMBH"	"12.999.01.188"	2	0	2
"241349"	"F. MUELLER GMBH & CO. KG"	"12.999.01.001"	0	0	0
